Latitude (deg.): 46.101
Longitude (deg.): 7.228

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		16.0		-180.0		0.0		-180.0		0.0
-172.5		15.3		-162.5		0.0		-172.7		0.0
-165.0		15.3		-146.8		0.0		-165.4		0.0
-157.5		15.7		-133.6		0.0		-158.4		0.0
-150.0		18.3		-122.9		0.0		-151.6		0.0
-142.5		19.5		-114.0		0.0		-145.1		0.0
-135.0		18.3		-106.4		0.0		-138.9		0.0
-127.5		18.7		-99.9		0.0		-133.0		0.0
-120.0		20.2		-93.9		0.0		-127.4		0.0
-112.5		18.3		-88.4		0.0		-122.0		2.5
-105.0		21.0		-83.3		0.0		-116.8		7.0
-97.5		20.6		-78.2		0.0		-111.7		11.8
-90.0		21.0		-73.3		0.0		-106.7		16.7
-82.5		19.9		-68.3		0.0		-101.8		21.7
-75.0		18.0		-63.2		0.0		-96.7		26.8
-67.5		16.8		-58.0		0.0		-91.6		32.0
-60.0		17.2		-52.6		1.8		-86.1		37.2
-52.5		16.0		-47.0		5.8		-80.1		42.4
-45.0		13.0		-41.1		9.4		-73.6		47.4
-37.5		11.5		-34.9		12.6		-66.0		52.3
-30.0		9.5		-28.4		15.3		-57.1		56.9
-22.5		6.9		-21.6		17.5		-46.4		61.0
-15.0		8.4		-14.6		19.1		-33.2		64.3
-7.5		7.6		-7.3		20.1		-17.5		66.6
0.0		8.4		0.0		20.4		0.0		67.3
7.5		5.7		7.3		20.1		17.5		66.6
15.0		6.1		14.6		19.1		33.2		64.3
22.5		6.1		21.6		17.5		46.4		61.0
30.0		5.3		28.4		15.3		57.1		56.9
37.5		5.0		34.9		12.6		66.0		52.3
45.0		5.7		41.1		9.4		73.6		47.4
52.5		5.3		47.0		5.8		80.1		42.4
60.0		5.7		52.6		1.8		86.1		37.2
67.5		3.4		58.0		0.0		91.6		32.0
75.0		2.7		63.2		0.0		96.7		26.8
82.5		5.3		68.3		0.0		101.8		21.7
90.0		7.6		73.3		0.0		106.7		16.7
97.5		9.2		78.2		0.0		111.7		11.8
105.0		11.5		83.3		0.0		116.8		7.0
112.5		13.4		88.4		0.0		122.0		2.5
120.0		16.0		93.9		0.0		127.4		0.0
127.5		16.8		99.9		0.0		133.0		0.0
135.0		17.2		106.4		0.0		138.9		0.0
142.5		17.2		114.0		0.0		145.1		0.0
150.0		18.3		122.9		0.0		151.6		0.0
157.5		18.3		133.6		0.0		158.4		0.0
165.0		18.0		146.8		0.0		165.4		0.0
172.5		17.6		162.5		0.0		172.7		0.0
180.0		16.0		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2024
